,age
0,49
1,52
2,43
3,44
4,38
5,44
6,45
7,55
8,38
9,50
10,49
11,46
12,41
13,51
14,50
15,36
16,43
17,43
18,43
19,49
20,45
21,51
22,49
23,50
24,52
25,54
26,53
27,40
28,38
29,55
30,45
31,50
32,54
33,45
34,60
35,43
36,55
37,38
38,48
39,58
40,38
41,55
42,40
43,38
44,53
45,61
46,42
47,46
48,46
49,38
50,42
51,51
52,49
53,45
54,63
55,58
56,36
57,53
58,50
59,51
60,54
61,54
62,36
63,59
64,41
65,46
66,50
67,50
68,44
69,48
70,39
71,50
72,38
73,55
74,49
75,39
76,51
77,45
78,51
79,38
80,42
81,37
82,44
83,39
84,45
85,35
86,47
87,53
88,56
89,45
90,52
91,54
92,46
93,42
94,49
95,55
96,49
97,43
98,46
99,42
100,41
101,37
102,53
103,49
104,31
105,56
106,35
107,37
108,52
109,55
110,53
111,57
112,52
113,52
114,33
115,46
116,52
117,50
118,45
119,50
120,56
121,39
122,42
123,49
124,42
125,25
126,51
127,42
128,44
129,44
130,40
131,42
132,38
133,51
134,47
135,51
136,53
137,39
138,57
139,51
140,42
141,43
142,55
143,45
144,48
145,53
146,32
147,46
148,53
149,61
150,43
151,43
152,39
153,43
154,35
155,44
156,51
157,43
158,38
159,49
160,38
161,49
162,58
163,40
164,51
165,50
166,57
167,54
168,36
169,50
170,66
171,43
172,44
173,55
174,46
175,41
176,46
177,37
178,59
179,47
180,44
181,46
182,44
183,39
184,53
185,43
186,36
187,55
188,52
189,36
190,33
191,38
192,34
193,42
194,51
195,53
196,53
197,48
198,47
199,41
200,46
201,49
202,33
203,37
204,31
205,50
206,42
207,40
208,45
209,52
210,48
211,51
212,49
213,46
214,47
215,46
216,65
217,41
218,53
219,53
220,46
221,41
222,47
223,51
224,60
225,42
226,57
227,42
228,54
229,49
230,62
231,50
232,44
233,53
234,52
235,42
236,45
237,50
238,33
239,40
240,57
241,32
242,39
243,40
244,47
245,42
246,55
247,31
248,47
249,30
250,41
251,32
252,39
253,46
254,53
255,51
256,40
257,48
258,43
259,49
260,57
261,45
262,53
263,40
264,50
265,42
266,55
267,49
268,42
269,40
270,49
271,49
272,26
273,38
274,34
275,39
276,54
277,46
278,38
279,50
280,37
281,43
282,57
283,46
284,60
285,41
286,54
287,40
288,53
289,43
290,48
291,39
292,45
293,47
294,45
295,46
296,56
297,53
298,44
299,40
300,58
301,38
302,53
303,45
304,45
305,51
306,47
307,47
308,47
309,46
310,54
311,41
312,35
313,44
314,56
315,38
316,47
317,40
318,40
319,54
320,44
321,40
322,50
323,48
324,47
325,56
326,57
327,32
328,44
329,39
330,48
331,49
332,49
333,46
334,45
335,52
336,54
337,47
338,62
339,59
340,40
341,35
342,43
343,38
344,50
345,49
346,44
347,54
348,40
349,45
350,47
351,55
352,55
353,62
354,45
355,43
356,44
357,54
358,43
359,37
360,62
361,32
362,53
363,41
364,41
365,52
366,50
367,44
368,43
369,57
370,41
371,51
372,44
373,63
374,37
375,51
376,46
377,46
378,43
379,52
380,43
381,60
382,42
383,36
384,49
385,46
386,37
387,42
388,43
389,51
390,63
391,55
392,41
393,37
394,44
395,41
396,56
397,53
398,41
399,43
400,41
401,44
402,46
403,38
404,62
405,53
406,43
407,48
408,41
409,41
